$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
START,PROG,,,,,,,,,,,,,,PROG,,,,,,,,,,,,,,,,,,,,,,,,PROG,,PROG,,,,,
ADDOP,,,,,,,,,,,,,,,,,,,,,,,minus,plus,,,,,,,,,,,,,,,,,,,,,,or
APARAMS,,,,&epsilon,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,EXPR REPTAPARAMS1,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,comma EXPR,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,TERM RIGHTRECARITHEXPR,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqbr ARRAYSIZE2,,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rsqbr,,,,,,,intlit rsqbr,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,equal,
ASSIGNSTAT,,,,,,VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR,,,,,ARITHEXPR EXPR2,ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,ARITHEXPR EXPR2,ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,ARITHEXPR EXPR2,ARITHEXPR EXPR2,ARITHEXPR EXPR2,,
EXPR2,,,,&epsilon,,,,&epsilon,,,,,,,,,,,,,,,,,,&epsilon,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,RELOP ARITHEXPR,,,,,,,,,,,,,,
FACTOR,,,,,lpar ARITHEXPR rpar,id FACTOR2 REPTVARIABLEORFUNCTIONCALL,,,,,,,,,,,,,,,,,SIGN FACTOR,SIGN FACTOR,,,,,,,,,,,,,,,,,,not FACTOR,floatlit,intlit,,
FACTOR2,,,,REPTIDNEST1,lpar APARAMS rpar,,REPTIDNEST1,REPTIDNEST1,,,,,,,,,,,,,,,REPTIDNEST1,REPTIDNEST1,,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,,,,,,,,REPTIDNEST1
FPARAMS,,,,&epsilon,,id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD semi,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD FUNCBODY,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,func id lpar FPARAMS rpar arrow RETURNTYPE,,,,,
FUNCTIONCALL,,,,,,REPTFUNCTIONCALL0 id lpar APARAMS rpar,REPTFUNCTIONCALL0 id lpar APARAMS rpar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST,,,,,,,dot id IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,REPTIDNEST1,lpar APARAMS rpar,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,,,,,,,,,,,,,,,REPTIDNEST1,REPTIDNEST1,,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,REPTIDNEST1,,,,,,,REPTIDNEST1,REPTIDNEST1
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,impl id lcurbr REPTIMPLDEF3 rcurbr,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqbr ARITHEXPR rsqbr,,,,,,,,
MEMBERDECL,,,,,,,,,,VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDECL,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,and,div,mult,,,,,,,,,,
OPTSTRUCTDECL2,,,,,,,,,,,,,,&epsilon,,,,,,,,,,,,,,,,,,,inherits id REPTOPTSTRUCTDECL22,,,,,,,,,,,,,
PROG,REPTPROG0,,,,,,,,,,,,,,REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0,,REPTPROG0,,,,,
